CodigoNacional;NombreEstacion;Latitud;Altura;A�o;Mes;Dia;T.Maxima;T.Minima
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;6;13.5;18.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;7;15.4;19.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;8;13.3;18.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;9;14.4;17.6
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;10;15.7;18.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;11;16.1;19.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;12;15.3;19.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;13;11.5;18.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;14;13.8;17.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;15;14.1;19.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;16;14.2;20.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;17;15.7;20.5
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;18;14.5;19.3
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;19;15.3;18.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;20;14.7;17.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;21;11.7;17.8
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;22;11.2;17.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;23;14.3;17.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;24;13.6;18.7
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;25;14.1;20.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;26;14.5;21.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;27;14.1;20.0
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;28;14.3;20.2
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;29;15.3;23.1
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;30;14.3;21.9
230001;Cerro Moreno  Antofagasta  Ap.;23&deg 27' 13'' S;112;2020;5;31;15.2;19.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;1;15.3;24.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;2;19.2;24.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;3;21.7;25.0
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;4;22.6;24.8
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;5;20.1;24.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;6;20.8;23.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;7;18.5;22.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;8;17.8;23.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;9;18.8;19.8
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;10;15.3;25.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;11;19.3;25.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;12;21.7;25.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;13;20.6;24.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;14;21.4;25.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;15;21.4;24.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;16;21.2;22.7
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;17;17.0;21.6
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;18;14.0;22.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;19;15.2;24.2
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;20;20.9;24.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;21;21.9;24.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;22;22.8;25.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;23;19.6;22.0
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;24;18.2;21.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;25;15.6;20.9
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;26;16.6;20.7
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;27;17.2;21.5
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;28;16.9;22.3
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;29;17.2;22.4
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;30;16.0;24.1
270001;Mataveri  Isla de Pascua Ap.;27&deg 9' 32'' S;44;2020;5;31;14.0;22.2
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;1;13.6;17.3
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;2;13.4;16.8
270008;Desierto de Atacama, Caldera  Ad.;27&deg 15' 16'' S;197;2020;5;3;13.7;20.6
